write_time,experiment_name,experiment_version,participant_id,participant_session,participant_age,participant_gender,trial_py_version,type,target_ans,participant_ans,time_start,time_stimulus_start,time_stimulus_end,time_response_enabled,time_response_submitted,time_response_disabled,time_trial_logged
2020-01-29T16:03:01.449548,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialSpan,1,0,15.890367269515991,15.890862941741943,22.65779709815979,23.47967004776001,24.525238275527954,29.57997965812683,29.58047580718994
2020-01-29T16:03:13.273206,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialRotation,1,-1,30.23082733154297,30.23082733154297,37.524418592453,38.32545852661133,-1,41.403637409210205,41.404133796691895
2020-01-29T17:16:41.470599,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialSpan,0,0,3.6262617111206055,3.6262617111206055,9.847592115402222,10.107497930526733,11.263673305511475,15.630957841873169,15.630957841873169
2020-01-29T17:16:54.075954,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialSpan,0,2,15.87697696685791,15.87697696685791,22.10574722290039,22.353251695632935,23.679558992385864,28.236313104629517,28.236313104629517
2020-01-29T17:17:13.601012,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialRotation,2,2,32.2970712184906,32.2970712184906,38.68902635574341,39.00547480583191,41.7409188747406,47.76137065887451,47.76137065887451
2020-01-29T17:26:06.017878,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialSpan,0,-1,10.705178499221802,10.705178499221802,16.890799283981323,17.13036799430847,-1,20.140097856521606,20.140097856521606
2020-01-29T17:26:19.901922,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialDigitSpan,0,0,20.662895679473877,20.662895679473877,26.811800003051758,27.06277561187744,28.939146280288696,34.024142026901245,34.024142026901245
2020-01-29T17:26:36.941521,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialSpan,1,1,38.0496871471405,38.0496871471405,44.192647218704224,44.439655780792236,46.13746738433838,51.063740968704224,51.063740968704224
2020-01-29T17:26:51.675712,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialRotation,2,2,51.590495347976685,51.590495347976685,57.790003538131714,58.030067682266235,60.300758361816406,65.79793238639832,65.79793238639832
2020-01-29T19:26:07.317304,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialDigitSpan,1,-1,6.842826843261719,6.842826843261719,13.079034566879272,13.328025579452515,-1,16.34519624710083,16.34519624710083
2020-01-29T19:26:19.188579,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialDigitSpan,1,1,16.945360898971558,16.945360898971558,23.14734673500061,23.393860340118408,24.20134687423706,28.216471195220947,28.216471195220947
2020-01-29T19:26:29.188939,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialSpan,0,-1,28.745208501815796,28.745208501815796,34.95711708068848,35.20313358306885,-1,38.21683168411255,38.21683168411255
2020-01-30T09:50:18.415326,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialDigitSpan,0,-1,4.749244689941406,4.749244689941406,10.978185415267944,11.23858642578125,-1,14.258236169815063,14.258236169815063
2020-01-30T09:50:31.919434,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialSpan,1,-1,18.292211294174194,18.292211294174194,24.487749576568604,24.738725423812866,-1,27.762344360351562,27.762344360351562
2020-01-30T09:50:42.401908,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialSpan,2,-1,28.82726001739502,28.82726001739502,34.97865629196167,35.23112106323242,-1,38.244818449020386,38.244818449020386
2020-01-30T09:50:55.962064,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialRotation,1,-1,42.27383208274841,42.27383208274841,48.51748251914978,48.78036308288574,-1,51.80447816848755,51.8049750328064
2020-01-30T11:18:13.406208,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialSpan,0,0,4.433252334594727,4.433252334594727,10.644198179244995,10.901127338409424,12.738313674926758,17.79057240486145,17.79057240486145
2020-01-30T11:18:28.666654,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialSpan,1,1,18.489438772201538,18.489438772201538,24.634882926940918,24.88189196586609,27.35544514656067,33.05101752281189,33.05101752281189
2020-01-30T11:18:44.536685,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialDigitSpan,0,0,33.58719849586487,33.58719849586487,39.75003147125244,40.00940799713135,42.82768225669861,48.92104911804199,48.92104911804199
2020-01-30T11:18:54.878344,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialRotation,0,-1,49.44723963737488,49.44723963737488,55.84576153755188,56.225234031677246,-1,59.26270771026611,59.26270771026611
2020-01-30T13:19:32.753011,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialRotation,1,-1,35.02110195159912,35.02110195159912,41.229538440704346,41.479026794433594,-1,44.49173331260681,44.49173331260681
2020-01-30T13:19:42.861632,demoExperimentTaskSwitch,demo_v0.1,,,,,v0.0.1,TrialSpatialRotation,2,-1,44.781898021698,44.781898021698,51.26078248023987,51.58963084220886,-1,54.600353956222534,54.600353956222534
