write_time,experiment_name,experiment_version,participant_id,participant_session,participant_age,participant_gender,trial_py_version,type,target_ans,participant_ans,time_start,time_stimulus_start,time_stimulus_end,time_response_enabled,time_response_submitted,time_response_disabled,time_trial_logged
2020-03-26T17:42:04.504457,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,2,2,400.3288064,400.3288064,406.477366,406.7266979,408.807137,414.0860233,414.0860233
2020-03-26T17:42:18.536945,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,0,0,415.1192763,415.1192763,421.2678251,421.5171576,423.2116275,428.1185119,428.1185119
2020-03-26T17:42:33.586749,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,0,2,429.2066157,429.2066157,435.3611853,435.6125455,437.7896931,443.1683152,443.1683152
2020-03-26T17:42:43.878238,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,1,-1,444.0399871,444.0399871,450.1945314,450.4468589,-1,453.4598045,453.4598045
2020-03-26T17:42:57.415086,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,0,0,453.9006476,453.9006476,460.046195,460.2995203,462.0338814,466.9966526,466.9966526
2020-03-26T17:43:07.433304,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,2,-1,467.5961156,467.5961156,473.7476053,473.9959412,-1,477.0148704,477.0148704
2020-03-26T17:43:23.410630,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,0,2,477.7977886,477.7977886,483.9483726,484.1957116,486.9952271,492.9921963,492.9921963
2020-03-26T17:43:38.523229,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,0,2,493.220592,493.220592,499.3681505,499.6184814,502.2634108,508.104795,508.104795
2020-03-26T17:43:48.526487,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialSpan,0,-1,508.6842482,508.6842482,514.8397906,515.0891242,-1,518.1080537,518.1080537
2020-03-26T17:44:03.620137,ExperimentTaskSwitch,v0.0.4,louis_pilot,1,24,m,v0.0.1,TrialSpatialRotation,2,1,518.6486115,518.6486115,524.8590078,525.1103361,527.5428314,533.2017035,533.2017035
