auto_participant_id,participant_id,participant_age,participant_gender,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,blueprint_id,check_times,responses,start_time,end_time,stimulus_on,stimulus_off,response_enabled_time,response_time,response_answer,answer_index,response_correct,trial_task_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,35,350377,0.0-35.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,344944,"[345448,345952,346450,346947,347446,347944]",348105,NULL,NULL,0,NULL,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,37,356865,0.0-37.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,351438,"[351943,352443,352942,353446,353942,354442]",354594,356664,0,0,1,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,39,363462,0.0-39.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,358039,"[358541,359043,359544,360040,360543,361043]",361192,363762,2,2,1,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,41,370307,0.0-41.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,364880,"[365385,365882,366381,366880,367382,367883]",368036,370580,1,1,1,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,43,377173,0.0-43.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,371748,"[372252,372750,373252,373749,374249,374748]",374901,377769,2,0,,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,45,383704,0.0-45.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,378276,"[378781,379280,379781,380277,380781,381279]",381431,383743,2,0,,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,47,390187,0.0-47.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,384762,"[385269,385766,386264,386764,387263,387762]",387916,390358,1,0,,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,49,396984,0.0-49.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,391560,"[392064,392561,393061,393561,394062,394561]",394713,397626,0,0,1,ts-trial-spatial-rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-info-card,50,400988,0.0-50.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,397716,401719,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,51,405650,0.0-51.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,401720,"[401973,402221,402473,402722,402974,403222]",403380,405772,0,0,1,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,53,411322,0.0-53.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,407401,"[407653,407904,408153,408402,408654,408902]",409053,NULL,NULL,0,NULL,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,55,416591,0.0-55.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,412665,"[412920,413174,413424,413667,413915,414166]",414323,416652,1,2,,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,57,421835,0.0-57.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,417913,"[418166,418415,418667,418915,419167,419414]",419565,422130,1,1,1,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,59,426824,0.0-59.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,422902,"[423154,423405,423657,423903,424153,424403]",424555,426731,2,2,1,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,61,431640,0.0-61.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,427717,"[427968,428219,428470,428720,428968,429219]",429370,431277,2,2,1,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,63,436654,0.0-63.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,432732,"[432988,433235,433483,433735,433983,434233]",434384,436733,2,0,,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712_62123,1,36,Female,NULL,NULL,ts-trial,65,441830,0.0-65.0,2020-06-01_blueprint_a8ac75a61d70598951af70a55c22ef89.json,NULL,NULL,NULL,NULL,437906,"[438157,438406,438659,438910,439156,439406]",439560,NULL,NULL,2,NULL,ts-trial-digit-span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
