write_time,experiment_name,experiment_version,participant_id,participant_session,participant_age,participant_gender,trial_py_version,type,target_ans,participant_ans,time_start,time_stimulus_start,time_stimulus_end,time_response_enabled,time_response_submitted,time_response_disabled,time_trial_logged
2020-01-27T12:11:04.256315,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialSpatialRotation,1,-1,281.9598403,281.9598403,288.8959632,289.6444266,-1,292.6759839,292.6759839
2020-01-27T12:11:15.642998,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialSpatialRotation,1,-1,293.5107505,293.5107505,300.5018771,300.9973807,-1,304.0626664,304.0631626
2020-01-27T12:11:26.594719,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialSpatialRotation,0,-1,304.2139478,304.2139478,311.2279193,311.9738698,-1,315.0143881,315.0143881
2020-01-27T12:11:37.783572,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialSpatialRotation,1,-1,315.3308949,315.3308949,322.2678635,323.1641359,-1,326.2036288,326.2037361
2020-01-27T12:11:49.096242,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialSpatialRotation,0,-1,326.9551234,326.9551234,333.9045317,334.4699697,-1,337.5159101,337.5164063
2020-01-27T12:12:00.560299,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialSpatialRotation,0,-1,338.3467102,338.3467102,345.2550089,345.9101465,-1,348.9804628,348.9804628
2020-01-27T12:12:11.929622,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialSpatialRotation,2,-1,349.6982045,349.6982045,356.6084881,357.3078177,-1,360.3497863,360.3497863
2020-01-27T12:12:23.270176,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialSpatialRotation,1,-1,361.1230516,361.1230516,368.000097,368.6577938,-1,371.6898458,371.6903403
2020-01-27T12:12:34.337906,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialSpatialRotation,1,-1,372.0769961,372.0769961,379.033607,379.7052228,-1,382.7576044,382.7580705
2020-01-27T12:12:45.690053,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialSpatialRotation,0,-1,383.5283635,383.5283635,390.4527099,391.0662799,-1,394.1102171,394.1102171
2020-01-27T12:13:00.072883,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialDigitSpan,0,-1,398.2546804,398.2550225,404.7859402,405.4416535,-1,408.493047,408.493047
2020-01-27T12:13:10.892636,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialDigitSpan,2,-1,409.1349127,409.1349127,415.6543243,416.2802539,-1,419.3128002,419.3128002
2020-01-27T12:13:25.045515,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialDigitSpan,1,0,420.1212828,420.1212828,426.6744399,427.348506,428.6346338,433.465183,433.465183
2020-01-27T12:13:35.762596,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialDigitSpan,1,-1,433.9740801,433.9740801,440.4811077,441.1561649,-1,444.1822627,444.1822627
2020-01-27T12:13:46.804061,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialDigitSpan,0,-1,444.9867764,444.9867764,451.5136476,452.1668782,-1,455.2242248,455.2242248
2020-01-27T12:13:57.503589,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialDigitSpan,2,-1,455.7614143,455.7614143,462.3039424,462.9095585,-1,465.9237537,465.9237537
2020-01-27T12:14:07.856642,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialDigitSpan,2,-1,466.1033058,466.1033058,472.7011037,473.2243845,-1,476.2762778,476.2762778
2020-01-27T12:14:18.939241,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialDigitSpan,1,-1,477.0411086,477.0411086,483.6459529,484.3223937,-1,487.3594053,487.3594053
2020-01-27T12:14:30.027331,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialDigitSpan,2,-1,488.1111841,488.1111841,494.6793833,495.3975883,-1,498.4469991,498.447495
2020-01-27T12:14:41.338621,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialDigitSpan,2,-1,499.3685694,499.3685694,505.9991028,506.7143354,-1,509.7587852,509.7587852
2020-01-27T12:14:52.471350,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialDigitSpan,2,-1,510.4978309,510.4978309,517.1501832,517.8485553,-1,520.8915145,520.8915145
2020-01-27T12:15:04.112481,ExperimentTaskSwitch,v0.0.2,testing_fulllength,1,25,f,v0.0.1,TrialDigitSpan,0,-1,521.9625719,521.9625719,528.6004124,529.4748027,-1,532.53215,532.53215
