type,occurence,index_raw,participant_id,participant_age,participant_gender,time_start,participant_ans,target_ans,response_time,changed_shifted,switch_type,first_switch_rt,accuracy
TrialDigitSpan,1,40,gus_pilot,26,m,569.185432,0,0,1.2811687,,none,,1
TrialDigitSpan,1,58,gus_pilot,26,m,816.0235765,2,2,1.3730759,,none,,1
TrialDigitSpan,1,19,hazel_pilot,25,f,284.1141202,-1,2,,1,none,,0
TrialDigitSpan,1,20,hazel_pilot,25,f,294.5115607,1,1,2.619874,,none,,1
TrialDigitSpan,1,21,hazel_pilot,25,f,310.0640867,1,1,2.458178,,none,,1
TrialDigitSpan,1,22,hazel_pilot,25,f,324.8830919,2,2,2.807859,,none,,1
TrialDigitSpan,1,23,hazel_pilot,25,f,340.5606768,0,0,1.9339063,,none,,1
TrialDigitSpan,1,24,hazel_pilot,25,f,354.7889462,2,2,2.6322737,,none,,1
TrialDigitSpan,1,25,hazel_pilot,25,f,370.703614,1,1,2.3064017,,none,,1
TrialDigitSpan,1,26,hazel_pilot,25,f,385.832629,-1,2,,,none,,0
TrialDigitSpan,1,27,hazel_pilot,25,f,396.1236627,0,0,2.7235386,,none,,1
TrialDigitSpan,1,28,hazel_pilot,25,f,411.44013,1,1,2.0340987,,none,,1
TrialDigitSpan,1,29,hazel_pilot,25,f,425.4908309,0,0,1.3292811,,none,,1
TrialDigitSpan,1,30,hazel_pilot,25,f,438.0493512,0,0,1.8069294,,none,,1
TrialDigitSpan,1,31,hazel_pilot,25,f,451.7301018,0,2,1.1988323,,none,,0
TrialDigitSpan,1,32,hazel_pilot,25,f,463.9172628,0,0,2.5806901,,none,,1
TrialDigitSpan,1,33,hazel_pilot,25,f,478.9480996,0,0,1.5083387,,none,,1
TrialDigitSpan,1,34,hazel_pilot,25,f,492.2235672,0,2,1.9959066,,none,,0
TrialDigitSpan,1,53,hazel_pilot,25,f,765.4916739,1,1,0.904674,,none,,1
TrialDigitSpan,1,22,henry_pilot,26,m,336.3087087,1,1,1.4473269,1,none,,1
TrialDigitSpan,1,23,henry_pilot,26,m,349.4387774,1,1,1.098641,,none,,1
TrialDigitSpan,1,24,henry_pilot,26,m,361.7182536,0,0,1.2469461,,none,,1
TrialDigitSpan,1,25,henry_pilot,26,m,374.8473787,2,2,1.2781918,,none,,1
TrialDigitSpan,1,26,henry_pilot,26,m,387.8460593,0,0,1.0540011,,none,,1
TrialDigitSpan,1,27,henry_pilot,26,m,400.6294796,2,2,1.4260013,,none,,1
TrialDigitSpan,1,28,henry_pilot,26,m,413.2978265,0,0,1.7429471,,none,,1
TrialDigitSpan,1,29,henry_pilot,26,m,426.99787,1,1,1.8937307,,none,,1
TrialDigitSpan,1,30,henry_pilot,26,m,441.2310929,2,2,1.2003224,,none,,1
TrialDigitSpan,1,31,henry_pilot,26,m,453.5979011,0,0,0.9964648,,none,,1
TrialDigitSpan,1,32,henry_pilot,26,m,466.0405293,1,1,1.4696486,,none,,1
TrialDigitSpan,1,33,henry_pilot,26,m,479.0332606,0,0,1.8237934,,none,,1
TrialDigitSpan,1,34,henry_pilot,26,m,493.0398643,0,0,1.1507215,,none,,1
TrialDigitSpan,1,35,henry_pilot,26,m,505.2612679,2,2,1.4651844,,none,,1
