index_raw,index,participant_id,block,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,changed,occurence
42,17,adrian_pilot,1,TrialSpatialRotation,1,1,714.412637,720.8216083,722.5831599,14.6193588,1.7615516,1,0,3
43,18,adrian_pilot,1,TrialSpatialRotation,1,0,728.2522297,734.733357,736.3296564,13.8395927,1.5962994,0,0,3
44,19,adrian_pilot,1,TrialSpatialRotation,0,0,741.8279188,748.3185205,750.2738557,13.5756891,1.9553352,1,0,3
45,20,adrian_pilot,1,TrialSpatialRotation,1,1,756.3552027,762.8160076,764.4595482,14.5272839,1.6435406,1,0,3
46,21,adrian_pilot,1,TrialSpatialRotation,2,2,770.0085335,776.4632874,778.4605587,13.6533308,1.9972713,1,0,3
47,22,adrian_pilot,1,TrialSpatialRotation,2,2,784.617712,791.0878584,793.1276498,14.6091785,2.0397914,1,0,3
48,23,adrian_pilot,1,TrialSpatialRotation,0,1,799.4900827,805.9974163,808.4519966,14.8723707,2.4545803,0,0,3
49,24,adrian_pilot,1,TrialSpatialRotation,1,1,814.9686334,821.4269845,823.2792037,15.4785507,1.8522192,1,0,3
50,0,adrian_pilot,1,TrialSpatialSpan,2,2,384.9830487,391.3887832,394.2730076,17.2064729,2.8842244,1,1,1
51,1,adrian_pilot,1,TrialSpatialSpan,1,2,400.6545978,407.0434639,409.6681638,15.6715491,2.6246999,0,0,1
52,2,adrian_pilot,1,TrialSpatialSpan,1,-1,415.769479,422.2113068,-1,15.1148812,3,0,0,1
53,3,adrian_pilot,1,TrialSpatialSpan,0,-1,426.1801481,432.5946882,-1,10.4106691,3,0,0,1
54,4,adrian_pilot,1,TrialSpatialSpan,1,1,436.3055127,442.7488902,445.2486417,10.1253646,2.4997515,1,0,1
55,5,adrian_pilot,1,TrialSpatialSpan,0,-1,451.1632638,457.5550892,-1,14.8577511,3,0,0,1
56,6,adrian_pilot,1,TrialSpatialSpan,0,0,461.4563432,467.8411236,469.7999563,10.2930794,1.9588327,1,0,1
57,7,adrian_pilot,1,TrialSpatialSpan,0,0,582.5150735,588.9259779,591.3497343,17.713376,2.4237564,1,1,2
58,8,adrian_pilot,1,TrialSpatialSpan,2,2,597.6405277,604.0822504,605.9824321,15.1254542,1.9001817,1,0,2
59,9,adrian_pilot,1,TrialSpatialSpan,0,0,611.3655589,617.7768836,619.4197009,13.7250312,1.6428173,1,0,2
60,10,adrian_pilot,1,TrialSpatialSpan,1,1,625.1533756,631.5706306,633.4084103,13.7878167,1.8377797,1,0,2
61,11,adrian_pilot,1,TrialSpatialSpan,0,2,639.2063646,645.621304,646.8605158,14.052989,1.2392118,0,0,2
62,12,adrian_pilot,1,TrialSpatialSpan,1,1,651.92522,658.3340662,660.7252293,12.7188554,2.3911631,1,0,2
63,13,adrian_pilot,1,TrialSpatialSpan,0,0,667.2894526,673.6917005,675.3129692,15.3642326,1.6212687,1,0,2
64,14,adrian_pilot,1,TrialSpatialSpan,0,0,681.2033422,687.6090391,690.0633502,13.9138896,2.4543111,1,0,2
65,15,adrian_pilot,1,TrialSpatialSpan,2,2,832.361269,838.7577932,840.2198749,17.3926356,1.4620817,1,1,3
66,16,adrian_pilot,1,TrialSpatialSpan,0,-1,845.7836392,852.2044191,-1,13.4223702,3,0,0,3
67,17,adrian_pilot,1,TrialSpatialSpan,0,0,855.6989579,862.1161785,863.7693334,9.9153187,1.6531549,1,0,3
68,18,adrian_pilot,1,TrialSpatialSpan,2,2,869.1998312,875.5818183,878.3471441,13.5008733,2.7653258,1,0,3
69,19,adrian_pilot,1,TrialSpatialSpan,2,2,885.3964751,891.8007295,893.5535851,16.1966439,1.7528556,1,0,3
70,20,adrian_pilot,1,TrialSpatialSpan,2,2,898.7062244,905.1207163,906.6870732,13.3097493,1.5663569,1,0,3
71,21,adrian_pilot,1,TrialSpatialSpan,0,0,911.8364062,918.2598436,920.7376018,13.1301818,2.4777582,1,0,3
72,22,adrian_pilot,1,TrialSpatialSpan,0,0,1038.717955,1045.118396,1046.779825,13.712806,1.661429,1,1,4
73,23,adrian_pilot,1,TrialSpatialSpan,0,0,1052.429209,1058.827013,1060.912189,13.711254,2.085176,1,0,4
74,24,adrian_pilot,1,TrialSpatialSpan,0,0,1066.551891,1072.971384,1074.527382,14.122682,1.555998,1,0,4
