,participant_id,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,block
0,danielle_pilot,TrialDigitSpan,0,0,14.30474615097046,19.240544319152832,20.588939905166626,,1.348395586013794,1,1.0
1,danielle_pilot,TrialDigitSpan,2,2,25.51880645751953,30.43765163421631,32.24880433082581,11.21406030654907,1.8111526966095042,1,1.0
2,danielle_pilot,TrialDigitSpan,1,1,38.110133171081536,42.998058557510376,44.15496444702149,12.591326713562005,1.1569058895111155,1,1.0
3,danielle_pilot,TrialDigitSpan,2,1,49.07879972457886,53.97373867034912,55.04982876777649,10.968666553497322,1.0760900974273682,0,1.0
4,danielle_pilot,TrialDigitSpan,2,2,59.83802628517151,64.7259533405304,66.17208576202393,10.759226560592651,1.4461324214935303,1,1.0
5,danielle_pilot,TrialDigitSpan,0,0,71.7342128753662,76.61416053771974,77.95657062530519,11.896186590194688,1.3424100875854492,1,1.0
6,danielle_pilot,TrialDigitSpan,1,1,83.60561037063599,88.491544008255,91.01978254318236,11.87139749526979,2.528238534927354,1,1.0
7,danielle_pilot,TrialSpatialSpan,0,0,100.79763674736023,107.17760300636292,108.67058038711548,17.192026376724243,1.4929773807525635,1,1.0
8,danielle_pilot,TrialSpatialSpan,0,0,113.85970234870909,120.24562573432922,121.3756034374237,13.062065601348863,1.1299777030944824,1,1.0
9,danielle_pilot,TrialSpatialSpan,0,0,125.9433889389038,132.3233277797699,133.8701901435852,12.083686590194702,1.5468623638153076,1,1.0
10,danielle_pilot,TrialSpatialSpan,2,2,139.52606558799744,145.9229581356049,148.09813952445984,13.582676649093642,2.175181388854952,1,1.0
11,danielle_pilot,TrialSpatialSpan,1,1,154.56086015701294,160.94378805160522,162.51162695884702,15.034794569015503,1.5678389072417929,1,1.0
12,danielle_pilot,TrialSpatialSpan,2,2,168.0218594074249,174.39980268478394,176.80836272239685,13.460999250411959,2.408560037612915,1,1.0
13,danielle_pilot,TrialSpatialSpan,1,1,182.74149656295776,189.13340306282043,191.70751929283142,14.719637155532865,2.5741162300109863,1,1.0
14,danielle_pilot,TrialDigitSpan,1,1,198.03061532974243,202.91055965423584,204.42750120162964,15.289118766784668,1.5169415473937988,1,1.0
15,danielle_pilot,TrialDigitSpan,1,1,210.18211603164676,215.0700421333313,216.5411078929901,12.151500701904325,1.4710657596588135,1,1.0
16,danielle_pilot,TrialDigitSpan,1,-1,221.6324934959412,226.51842665672302,-1.0,11.450377464294434,3.0,0,1.0
17,danielle_pilot,TrialDigitSpan,1,1,230.63243627548215,235.518358707428,236.78097987174988,8.999942779540959,1.262621164321871,1,1.0
18,danielle_pilot,TrialDigitSpan,0,0,241.89630317687988,246.79619908332825,247.84342527389526,11.263866901397733,1.0472261905670166,1,1.0
19,danielle_pilot,TrialDigitSpan,2,2,252.47900176048282,257.36892342567444,259.0454716682434,10.582698583602934,1.6765482425689697,1,1.0
20,danielle_pilot,TrialDigitSpan,1,1,264.75517153739935,269.64609265327454,271.0403621196747,12.276169776916532,1.3942694664001465,1,1.0
21,danielle_pilot,TrialDigitSpan,2,2,276.0669221878052,280.9588680267334,283.25968647003174,11.311750650405827,2.30081844329834,1,1.0
22,danielle_pilot,TrialDigitSpan,2,2,289.053195476532,293.95611023902893,295.11501288413996,12.986273288726807,1.1589026451110271,1,1.0
23,danielle_pilot,TrialSpatialSpan,2,2,300.01288533210754,306.4077813625336,307.6993544101715,10.959689855575562,1.2915730476378826,1,1.0
24,danielle_pilot,TrialSpatialSpan,0,0,312.60222077369684,318.98614478111267,320.9070081710816,12.589335441589299,1.920863389968929,1,1.0
25,danielle_pilot,TrialSpatialSpan,1,1,327.0296630859375,333.41755056381226,335.5229215621948,14.427442312240657,2.1053709983825684,1,1.0
26,danielle_pilot,TrialSpatialSpan,1,1,341.2147161960602,347.59463930130005,349.8585846424103,14.18505311012268,2.2639453411102295,1,1.0
27,danielle_pilot,TrialSpatialSpan,2,0,355.45864820480347,361.8435328006744,364.4974637031555,14.243932008743286,2.653930902481136,0,1.0
28,danielle_pilot,TrialSpatialSpan,0,2,370.6739585399628,377.05887579917913,379.11238265037537,15.215310335159359,2.053506851196232,0,1.0
29,danielle_pilot,TrialSpatialSpan,2,2,384.5907413959503,390.98762607574463,392.8765740394592,13.916782855987492,1.8889479637145428,1,1.0
30,danielle_pilot,TrialSpatialRotation,0,0,402.03727173805237,408.4770476818085,409.91523623466486,17.44653034210205,1.4381885528563885,1,1.0
31,danielle_pilot,TrialSpatialRotation,2,2,415.30279874801636,421.76551222801214,424.3765296936035,13.26552700996399,2.611017465591374,1,1.0
32,danielle_pilot,TrialSpatialRotation,0,0,430.7645206451416,437.22224402427673,439.13213562965393,15.461721897125244,1.9098916053771973,1,1.0
33,danielle_pilot,TrialSpatialRotation,1,1,445.0433452129364,451.48712682724005,453.42790627479553,14.2788245677948,1.9407794475554851,1,1.0
34,danielle_pilot,TrialSpatialRotation,0,0,459.5186214447022,465.959392786026,467.30482721328735,14.475276231765804,1.3454344272613525,1,1.0
35,danielle_pilot,TrialSpatialRotation,0,0,472.50788760185236,478.9536442756653,480.48155808448786,12.989266157150155,1.527913808822575,1,1.0
36,danielle_pilot,TrialSpatialRotation,1,1,485.9369714260101,492.3727569580078,494.7913224697113,13.429083824157715,2.418565511703491,1,1.0
37,danielle_pilot,TrialSpatialRotation,1,1,501.183198928833,507.621976852417,509.4859936237335,15.246227502822933,1.8640167713165283,1,1.0
