,participant_id,block,type,response_time,accuracy,switch_type,occurence
67,clouds_pilot,1.0,TrialSpatialSpan,2.7576272000000017,1,none,2.0
68,clouds_pilot,1.0,TrialSpatialSpan,2.218068799999969,0,none,2.0
69,clouds_pilot,1.0,TrialSpatialSpan,2.89825170000006,0,DS-SS,3.0
70,clouds_pilot,1.0,TrialSpatialSpan,3.0,0,none,3.0
71,clouds_pilot,1.0,TrialSpatialSpan,1.8620229000000563,0,none,3.0
72,clouds_pilot,2.0,TrialDigitSpan,2.231037000000015,1,SR-DS,1.0
73,clouds_pilot,2.0,TrialDigitSpan,3.0,0,none,1.0
74,clouds_pilot,2.0,TrialDigitSpan,2.6878160000001117,1,none,1.0
75,clouds_pilot,2.0,TrialDigitSpan,1.9388169999999718,1,none,1.0
76,clouds_pilot,2.0,TrialDigitSpan,2.3995859999999993,1,none,1.0
77,clouds_pilot,2.0,TrialDigitSpan,3.0,0,none,1.0
78,clouds_pilot,2.0,TrialDigitSpan,3.0,0,none,1.0
79,clouds_pilot,2.0,TrialDigitSpan,1.433168999999907,1,none,1.0
80,clouds_pilot,2.0,TrialDigitSpan,1.5966980000000603,1,none,1.0
81,clouds_pilot,2.0,TrialDigitSpan,1.6386190000000624,1,SS-DS,2.0
82,clouds_pilot,2.0,TrialDigitSpan,2.2769109999999273,1,none,2.0
83,clouds_pilot,2.0,TrialDigitSpan,1.9557730000001357,1,none,2.0
84,clouds_pilot,2.0,TrialDigitSpan,2.0515159999999923,1,none,2.0
85,clouds_pilot,2.0,TrialDigitSpan,2.699783000000025,1,none,2.0
86,clouds_pilot,2.0,TrialDigitSpan,1.6346310000001267,1,none,2.0
87,clouds_pilot,2.0,TrialDigitSpan,1.8939350000002833,1,none,2.0
88,clouds_pilot,2.0,TrialDigitSpan,2.1931359999998676,1,none,2.0
89,clouds_pilot,2.0,TrialDigitSpan,2.073488999999654,1,none,2.0
90,clouds_pilot,2.0,TrialDigitSpan,2.7416719999998804,1,SS-DS,3.0
91,clouds_pilot,2.0,TrialDigitSpan,2.5681339999998727,0,none,3.0
92,clouds_pilot,2.0,TrialDigitSpan,1.785229999999956,1,none,3.0
93,clouds_pilot,2.0,TrialDigitSpan,2.0634840000000167,1,none,3.0
94,clouds_pilot,2.0,TrialDigitSpan,1.7882210000000214,1,none,3.0
95,clouds_pilot,2.0,TrialDigitSpan,3.0,0,none,3.0
96,clouds_pilot,2.0,TrialDigitSpan,1.8640169999996488,1,none,3.0
