participant_id,block,type,occurence,MAD_rt,SD_rt,mean_rt,median_rt,rt_trial_1,rt_trial_2,rt_trial_3,switch_rt
clouds_pilot,1.0,TrialDigitSpan,1.0,0.5300694148148124,0.6632677542307355,2.167543633333344,2.124320900000015,1.3523845999999935,3.0,2.124320900000015,2.1589018333333363
clouds_pilot,1.0,TrialDigitSpan,2.0,0.5906705506172947,0.6908615125430021,1.977936855555514,1.6984588999998778,2.8384113999999268,1.6984588999998778,1.0432109999999284,1.8600270999999111
clouds_pilot,1.0,TrialDigitSpan,3.0,0.512652083950615,0.6195371123468061,2.020822555555532,2.0205981999999953,2.0205981999999953,2.670859599999972,1.856036700000004,2.182498166666657
clouds_pilot,1.0,TrialSpatialRotation,1.0,0.38181630666666894,0.552026501498591,2.1707008666666687,2.228541964999998,2.165210479999999,3.0,1.3424122300000008,2.1692075699999998
clouds_pilot,1.0,TrialSpatialRotation,2.0,0.2670641999999803,0.3965110286546914,2.3535420500000064,2.3103236000000322,2.5850911,2.9231855999999534,2.350715600000001,2.619664099999985
clouds_pilot,1.0,TrialSpatialRotation,3.0,0.40696150617284527,0.5011386180636294,2.4380460444444907,2.557164900000089,3.0,2.6080281000000696,1.9906781000000817,2.532902066666717
clouds_pilot,1.0,TrialSpatialRotation,4.0,0.27523031020411176,0.34017470014685475,2.5907934714285505,2.5840918999999762,2.4205276999998655,2.1871515000000272,3.0,2.535893066666631
clouds_pilot,1.0,TrialSpatialSpan,1.0,0.5019333673469414,0.5804275961788133,2.4144110714285683,2.3656747999999794,2.3656747999999794,3.0,1.8251206999999996,2.3969318333333263
clouds_pilot,1.0,TrialSpatialSpan,2.0,0.4782752000000053,0.5721832103285215,2.4386259000000012,2.7396765000000296,3.0,1.4780483000000115,1.945797400000004,2.141281900000005
clouds_pilot,1.0,TrialSpatialSpan,3.0,0.483156866666655,0.6296976420773449,2.586758200000039,2.8982517000000603,2.8982517000000603,3.0,1.8620229000000563,2.94912585000003
clouds_pilot,2.0,TrialDigitSpan,1.0,0.5024939012345846,0.6096367638892709,2.365235888888896,2.3995859999999998,2.2310370000000153,3.0,2.687816000000112,2.639617666666709
clouds_pilot,2.0,TrialDigitSpan,2.0,0.2361617283949339,0.3297032729250457,2.046421444444453,2.0515159999999923,1.6386190000000624,2.2769109999999277,1.955773000000136,1.9571010000000422
clouds_pilot,2.0,TrialDigitSpan,3.0,0.43821910204081976,0.5029819956594747,2.258679714285628,2.0634840000000167,2.7416719999998804,2.5681339999998727,1.7852299999999561,2.365011999999903
clouds_pilot,2.0,TrialSpatialRotation,1.0,0.33543281632651356,0.43991871595097315,2.545771428571373,2.6239839999998367,3.0,3.0,1.8470620000000508,2.61568733333335
clouds_pilot,2.0,TrialSpatialRotation,2.0,0.17362183673469425,0.2994744247270187,2.405429285714295,2.3876170000000907,1.9936709999999491,2.2988530000000083,3.0,2.430841333333319
clouds_pilot,2.0,TrialSpatialRotation,3.0,0.3971979999998894,0.5432365836427726,2.6028020000001106,2.7810760000000982,3.0,3.0,1.8490560000002458,3.0
clouds_pilot,2.0,TrialSpatialSpan,1.0,0.354185374999929,0.5005943574480403,2.291629250000142,2.144767500000171,3.0,2.0126200000001973,1.8769820000002253,2.5063100000000986
clouds_pilot,2.0,TrialSpatialSpan,2.0,0.27570770370367526,0.3561503839737767,1.9521147777777514,1.8729929999999515,1.6246560000001864,1.9477939999999307,1.8729929999999515,1.8151476666666895
clouds_pilot,2.0,TrialSpatialSpan,3.0,0.5382686666666981,0.635281761063571,2.1354099999999914,1.8819699999999104,1.578806000000213,2.8284390000001167,1.8779789999998684,2.095074666666733
clouds_pilot,2.0,TrialSpatialSpan,4.0,0.15392149999987245,0.21058602719877653,1.9315028333332975,1.942307000000028,1.8939360000003944,1.9906779999996616,1.5917439999998348,1.8254526666666304
clouds_pilot,3.0,TrialDigitSpan,1.0,0.3423193827159785,0.4141727039979763,2.074565444444387,1.9856919999997444,1.550854000000072,2.388615999999729,1.8091649999996664,1.916211666666489
clouds_pilot,3.0,TrialDigitSpan,2.0,0.368237444444579,0.4928704839491811,1.8018498333333355,1.665547499999775,1.3942730000003394,1.76328599999988,2.036555000000135,1.7313713333334515
clouds_pilot,3.0,TrialDigitSpan,3.0,0.39754983673471106,0.49415636228681303,1.9121738571428588,1.77824499999997,1.77824499999997,2.5322300000002538,1.9637509999997744,2.0914086666666662
clouds_pilot,3.0,TrialSpatialRotation,1.0,0.3682647499998665,0.42526456189465434,2.367420749999951,2.3666729999999916,1.9956640000000332,2.7306979999998475,2.002648000000136,2.3631809999999405
clouds_pilot,3.0,TrialSpatialRotation,2.0,0.34483100000016964,0.3901395765294853,2.5287422499998797,2.490342499999997,2.2649439999995598,2.9481190000001334,2.300848999999744,2.5046373333331453
clouds_pilot,3.0,TrialSpatialRotation,3.0,0.35150916049380254,0.44870810225577584,2.363685555555599,2.420528999999988,1.737355000000207,3.0,1.9168740000000069,2.218076333333405
clouds_pilot,3.0,TrialSpatialSpan,1.0,0.4348822448979003,0.5860465950891829,1.8564685714286497,1.5807740000000194,3.0,1.297530999999708,1.8321040000005269,2.043211666666745
clouds_pilot,3.0,TrialSpatialSpan,2.0,0.30782150617274673,0.41996390157982616,2.255750555555652,2.211089999999785,3.0,2.150253000000248,2.211089999999785,2.4537810000000113
clouds_pilot,3.0,TrialSpatialSpan,3.0,0.31312514285706794,0.4682563822977488,2.111073000000098,2.0864230000001958,2.295861000000059,2.0864230000001958,2.133295999999973,2.1718600000000756
