,participant_id,block,type,occurence,response_time,mean_rt,SD_rt,MAD_rt,median_rt,rt_trial_1,rt_trial_2,rt_trial_3,response_time,accuracy,switch_type
0,danielle_pilot,1.0,TrialDigitSpan,1.0,1.348395586013794,1.5299036162240165,0.49932692538295637,0.3655954283110929,1.348395586013794,1.348395586013794,1.811152696609504,1.1569058895111155,1.348395586013794,,NONE-DS
1,danielle_pilot,1.0,TrialDigitSpan,1.0,1.811152696609504,1.5299036162240165,0.49932692538295637,0.3655954283110929,1.348395586013794,1.348395586013794,1.811152696609504,1.1569058895111155,1.811152696609504,,none
2,danielle_pilot,1.0,TrialDigitSpan,1.0,1.1569058895111155,1.5299036162240165,0.49932692538295637,0.3655954283110929,1.348395586013794,1.348395586013794,1.811152696609504,1.1569058895111155,1.1569058895111155,,none
3,danielle_pilot,1.0,TrialDigitSpan,1.0,1.0760900974273682,1.5299036162240165,0.49932692538295637,0.3655954283110929,1.348395586013794,1.348395586013794,1.811152696609504,1.1569058895111155,1.0760900974273682,,none
4,danielle_pilot,1.0,TrialDigitSpan,1.0,1.4461324214935305,1.5299036162240165,0.49932692538295637,0.3655954283110929,1.348395586013794,1.348395586013794,1.811152696609504,1.1569058895111155,1.4461324214935305,,none
5,danielle_pilot,1.0,TrialDigitSpan,1.0,1.3424100875854492,1.5299036162240165,0.49932692538295637,0.3655954283110929,1.348395586013794,1.348395586013794,1.811152696609504,1.1569058895111155,1.3424100875854492,,none
6,danielle_pilot,1.0,TrialDigitSpan,1.0,2.528238534927354,1.5299036162240165,0.49932692538295637,0.3655954283110929,1.348395586013794,1.348395586013794,1.811152696609504,1.1569058895111155,2.528238534927354,,none
7,danielle_pilot,1.0,TrialDigitSpan,2.0,1.5169415473937988,1.647599273257776,0.6241407036439277,0.45212641468755155,1.4710657596588137,1.5169415473937988,1.4710657596588137,3.0,1.5169415473937988,,SS-DS
8,danielle_pilot,1.0,TrialDigitSpan,2.0,1.4710657596588137,1.647599273257776,0.6241407036439277,0.45212641468755155,1.4710657596588137,1.5169415473937988,1.4710657596588137,3.0,1.4710657596588137,,none
9,danielle_pilot,1.0,TrialDigitSpan,2.0,3.0,1.647599273257776,0.6241407036439277,0.45212641468755155,1.4710657596588137,1.5169415473937988,1.4710657596588137,3.0,3.0,,none
10,danielle_pilot,1.0,TrialDigitSpan,2.0,1.2626211643218708,1.647599273257776,0.6241407036439277,0.45212641468755155,1.4710657596588137,1.5169415473937988,1.4710657596588137,3.0,1.2626211643218708,,none
11,danielle_pilot,1.0,TrialDigitSpan,2.0,1.0472261905670166,1.647599273257776,0.6241407036439277,0.45212641468755155,1.4710657596588137,1.5169415473937988,1.4710657596588137,3.0,1.0472261905670166,,none
12,danielle_pilot,1.0,TrialDigitSpan,2.0,1.6765482425689695,1.647599273257776,0.6241407036439277,0.45212641468755155,1.4710657596588137,1.5169415473937988,1.4710657596588137,3.0,1.6765482425689695,,none
13,danielle_pilot,1.0,TrialDigitSpan,2.0,1.3942694664001465,1.647599273257776,0.6241407036439277,0.45212641468755155,1.4710657596588137,1.5169415473937988,1.4710657596588137,3.0,1.3942694664001465,,none
14,danielle_pilot,1.0,TrialDigitSpan,2.0,2.30081844329834,1.647599273257776,0.6241407036439277,0.45212641468755155,1.4710657596588137,1.5169415473937988,1.4710657596588137,3.0,2.30081844329834,,none
15,danielle_pilot,1.0,TrialDigitSpan,2.0,1.1589026451110271,1.647599273257776,0.6241407036439277,0.45212641468755155,1.4710657596588137,1.5169415473937988,1.4710657596588137,3.0,1.1589026451110271,,none
16,danielle_pilot,1.0,TrialDigitSpan,3.0,1.93884706497181,1.5569500393337294,0.6240535048635156,0.4471850748415599,1.3344311714171226,1.93884706497181,1.1678760051727295,1.4820361137390137,1.93884706497181,,SR-DS
17,danielle_pilot,1.0,TrialDigitSpan,3.0,1.1678760051727295,1.5569500393337294,0.6240535048635156,0.4471850748415599,1.3344311714171226,1.93884706497181,1.1678760051727295,1.4820361137390137,1.1678760051727295,,none
18,danielle_pilot,1.0,TrialDigitSpan,3.0,1.4820361137390137,1.5569500393337294,0.6240535048635156,0.4471850748415599,1.3344311714171226,1.93884706497181,1.1678760051727295,1.4820361137390137,1.4820361137390137,,none
19,danielle_pilot,1.0,TrialDigitSpan,3.0,0.9155509471892174,1.5569500393337294,0.6240535048635156,0.4471850748415599,1.3344311714171226,1.93884706497181,1.1678760051727295,1.4820361137390137,0.9155509471892174,,none
20,danielle_pilot,1.0,TrialDigitSpan,3.0,1.744335889816398,1.5569500393337294,0.6240535048635156,0.4471850748415599,1.3344311714171226,1.93884706497181,1.1678760051727295,1.4820361137390137,1.744335889816398,,none
21,danielle_pilot,1.0,TrialDigitSpan,3.0,1.3344311714171226,1.5569500393337294,0.6240535048635156,0.4471850748415599,1.3344311714171226,1.93884706497181,1.1678760051727295,1.4820361137390137,1.3344311714171226,,none
22,danielle_pilot,1.0,TrialDigitSpan,3.0,1.2087371349334717,1.5569500393337294,0.6240535048635156,0.4471850748415599,1.3344311714171226,1.93884706497181,1.1678760051727295,1.4820361137390137,1.2087371349334717,,none
23,danielle_pilot,1.0,TrialDigitSpan,3.0,1.2207360267638023,1.5569500393337294,0.6240535048635156,0.4471850748415599,1.3344311714171226,1.93884706497181,1.1678760051727295,1.4820361137390137,1.2207360267638023,,none
24,danielle_pilot,1.0,TrialDigitSpan,3.0,3.0,1.5569500393337294,0.6240535048635156,0.4471850748415599,1.3344311714171226,1.93884706497181,1.1678760051727295,1.4820361137390137,3.0,,none
