,participant_id,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,block,,Aan_DS_B1,Aan_DS_B2,Aan_DS_B3,Aan_DS_B4,,Aan_SS_B1,Aan_SS_B2,Aan_SS_B3,Aan_SS_B4,,Aan_SR_B1,Aan_SR_B2,Aan_SR_B3,Aan_SR_B4
39,aan_pilot,TrialSpatialSpan,1,1,593.489326,599.9368329,602.7169156,15.61161351,2.780082703,1,1,,,,,,,,,,,,,,,
40,aan_pilot,TrialSpatialSpan,2,2,609.3489566,615.8048806,618.6752338,15.85963058,2.870353222,1,1,,,,,,,,,,,,,,,
41,aan_pilot,TrialSpatialSpan,1,1,624.9967611,631.459645,633.4882884,15.6478045,2.02864337,1,1,,,,,,,,,,,,,,,
42,aan_pilot,TrialSpatialSpan,2,-1,638.8520594,645.2921052,-1,13.85529828,3,0,1,,,,,,,,,,,,,,,
43,aan_pilot,TrialSpatialSpan,1,1,648.8915856,655.3271866,656.7100353,10.03952622,1.38284874,1,1,,,,,,,,,,,,,,,
44,aan_pilot,TrialSpatialSpan,1,-1,662.3317068,668.777231,-1,13.44012117,3,0,1,,,,,,,,,,,,,,,
45,aan_pilot,TrialSpatialSpan,2,0,672.7978153,679.2478013,681.7416914,10.46610856,2.493890047,0,1,,,,,,,,,,,,,,,
46,aan_pilot,TrialSpatialSpan,0,0,688.2586424,694.7140868,697.0988557,15.46082711,2.384768963,1,1,,,,,,,,,,,,,,,
47,aan_pilot,TrialSpatialSpan,1,1,703.4937952,709.9348526,712.4942133,15.23515272,2.559360743,1,1,,,,,,,,,,,,,,,
48,aan_pilot,TrialSpatialSpan,1,1,718.7606845,725.1943047,728.061188,15.26688933,2.866883278,1,1,,,,,,,,,,,,,,,
49,aan_pilot,TrialSpatialSpan,0,0,734.6639624,741.1174071,743.340481,15.90327787,2.223073959,1,1,,,,,,,,,,,,,,,
50,aan_pilot,TrialSpatialRotation,1,0,752.8041713,759.3419526,761.3165309,18.14020896,1.974578381,0,1,,,,,,,,,,,,,,,
51,aan_pilot,TrialSpatialRotation,2,2,766.7249215,773.2587318,775.2958062,13.92075014,2.037074327,1,1,,,,,,,,,,,,,,,
52,aan_pilot,TrialSpatialRotation,0,0,781.177887,787.6829226,789.9967625,14.4529655,2.313839912,1,1,,,,,,,,,,,,,,,
53,aan_pilot,TrialSpatialRotation,2,1,796.2711744,802.7826624,804.7200401,15.09328747,1.937377691,0,1,,,,,,,,,,,,,,,
54,aan_pilot,TrialSpatialRotation,1,1,810.2629178,816.7788043,819.621381,13.99174333,2.842576742,1,1,,,,,,,,,,,,,,,
55,aan_pilot,TrialSpatialRotation,1,-1,826.5772939,833.1086266,-1,16.31437612,3,0,1,,,,,,,,,,,,,,,
56,aan_pilot,TrialSpatialRotation,2,1,836.994792,843.5157065,845.0180931,10.41749811,1.50238657,0,1,,,,,,,,,,,,,,,
57,aan_pilot,TrialSpatialRotation,0,0,850.1968961,856.7058475,858.4081197,13.20210409,1.702272177,1,1,,,,,,,,,,,,,,,
58,aan_pilot,TrialSpatialRotation,0,0,864.3933697,870.9227087,872.7093015,14.1964736,1.786592722,1,1,,,,,,,,,,,,,,,
59,aan_pilot,TrialSpatialRotation,2,0,878.3175926,884.8270874,886.5000987,13.92422295,1.673011303,0,1,,,,,,,,,,,,,,,
60,aan_pilot,TrialSpatialRotation,0,0,1012.651548,1019.163527,1021.344936,134.3339555,2.181408882,1,2,,,,,,,,,,,,,,,
61,aan_pilot,TrialSpatialRotation,2,2,1027.223069,1033.731061,1035.894117,14.57152057,2.163056374,1,2,,,,,,,,,,,,,,,
62,aan_pilot,TrialSpatialRotation,2,2,1041.798516,1048.309506,1050.347571,14.57544732,2.038064718,1,2,,,,,,,,,,,,,,,
63,aan_pilot,TrialSpatialRotation,0,2,1055.937505,1062.45395,1064.739023,14.13898945,2.28507328,0,2,,,,,,,,,,,,,,,
64,aan_pilot,TrialSpatialRotation,0,0,1071.08287,1077.611723,1079.717741,15.14536476,2.106018305,1,2,,,,,,,,,,,,,,,
65,aan_pilot,TrialSpatialRotation,0,2,1085.975004,1092.491394,1094.66338,14.89213347,2.171986103,0,2,,,,,,,,,,,,,,,
66,aan_pilot,TrialSpatialRotation,2,2,1101.04145,1107.547985,1109.583569,15.06644654,2.035583973,1,2,,,,,,,,,,,,,,,
67,aan_pilot,TrialSpatialRotation,0,2,1115.5455,1122.047565,1124.33512,14.5040493,2.287554979,0,2,,,,,,,,,,,,,,,
68,aan_pilot,TrialSpatialRotation,0,0,1130.302005,1136.801594,1138.705244,14.75650549,1.903650522,1,2,,,,,,,,,,,,,,,
69,aan_pilot,TrialSpatialRotation,0,0,1143.993125,1150.503606,1152.159752,13.69111967,1.656146288,1,2,,,,,,,,,,,,,,,
70,aan_pilot,TrialSpatialRotation,2,0,1157.660397,1164.193219,1166.406868,13.66727257,2.213648796,0,2,,,,,,,,,,,,,,,
71,aan_pilot,TrialSpatialSpan,2,1,1172.364828,1178.806383,1181.566625,14.70443058,2.760242701,0,2,,,,,,,,,,,,,,,
72,aan_pilot,TrialSpatialSpan,2,2,1188.42136,1194.878287,1197.727808,16.05653167,2.84952116,1,2,,,,,,,,,,,,,,,
73,aan_pilot,TrialSpatialSpan,2,2,1204.351894,1210.782044,1212.618733,15.9305346,1.836689234,1,2,,,,,,,,,,,,,,,
74,aan_pilot,TrialSpatialSpan,1,0,1217.764245,1224.211753,1226.96009,13.41235042,2.748336792,0,2,,,,,,,,,,,,,,,
75,aan_pilot,TrialSpatialSpan,0,0,1233.92642,1240.38087,1242.7334,16.16217518,2.352529526,1,2,,,,,,,,,,,,,,,
76,aan_pilot,TrialSpatialSpan,1,1,1249.061376,1255.508884,1258.419911,15.13495588,2.911027431,1,2,,,,,,,,,,,,,,,
77,aan_pilot,TrialSpatialSpan,1,1,1264.735488,1271.192913,1273.488899,15.67411232,2.295985937,1,2,,,,,,,,,,,,,,,
78,aan_pilot,TrialSpatialSpan,1,2,1279.282205,1285.735647,1288.199282,14.54671693,2.463634491,0,2,,,,,,,,,,,,,,,
79,aan_pilot,TrialSpatialSpan,1,1,1293.962336,1300.408828,1302.139374,14.68013144,1.730546474,1,2,,,,,,,,,,,,,,,
80,aan_pilot,TrialSpatialSpan,0,0,1307.691603,1314.148536,1316.23769,13.72926712,2.089153767,1,2,,,,,,,,,,,,,,,
81,aan_pilot,TrialSpatialSpan,2,1,1321.977428,1328.434342,1331.377607,14.2858243,2.943264961,0,2,,,,,,,,,,,,,,,
82,aan_pilot,TrialSpatialSpan,2,2,1337.928357,1344.414979,1345.989285,15.95092916,1.574305058,1,2,,,,,,,,,,,,,,,
83,aan_pilot,TrialSpatialSpan,0,-1,1351.930877,1358.390289,-1,14.00252008,3,0,2,,,,,,,,,,,,,,,
84,aan_pilot,TrialSpatialSpan,1,1,1361.879653,1368.482409,1370.587931,9.948776484,2.105522871,1,2,,,,,,,,,,,,,,,
85,aan_pilot,TrialSpatialSpan,1,1,1376.630716,1383.140711,1385.594424,14.75106239,2.453713179,1,2,,,,,,,,,,,,,,,
86,aan_pilot,TrialSpatialSpan,1,-1,1392.032522,1398.535077,-1,15.40180612,3,0,2,,,,,,,,,,,,,,,
