,accuracy,block,drop_column,occurence,overall_percent_acc,participant_id,switch_percent_acc,type
0,1,1.0,1.0,1.0,66.66666666666666,clouds_pilot,75.0,TrialDigitSpan
0,1,1.0,2.0,2.0,77.77777777777779,clouds_pilot,75.0,TrialDigitSpan
0,1,1.0,3.0,3.0,88.88888888888889,clouds_pilot,100.0,TrialDigitSpan
0,1,2.0,4.0,1.0,66.66666666666666,clouds_pilot,75.0,TrialDigitSpan
0,1,2.0,5.0,2.0,100.0,clouds_pilot,100.0,TrialDigitSpan
0,1,2.0,6.0,3.0,71.42857142857143,clouds_pilot,75.0,TrialDigitSpan
0,1,3.0,7.0,1.0,88.88888888888889,clouds_pilot,100.0,TrialDigitSpan
0,1,3.0,8.0,2.0,83.33333333333334,clouds_pilot,100.0,TrialDigitSpan
0,1,3.0,9.0,3.0,85.71428571428571,clouds_pilot,100.0,TrialDigitSpan
0,1,4.0,10.0,1.0,100.0,clouds_pilot,100.0,TrialDigitSpan
0,1,4.0,11.0,2.0,55.55555555555556,clouds_pilot,75.0,TrialDigitSpan
0,1,4.0,12.0,3.0,100.0,clouds_pilot,100.0,TrialDigitSpan
0,0,1.0,13.0,1.0,50.0,clouds_pilot,50.0,TrialSpatialRotation
0,1,1.0,14.0,2.0,50.0,clouds_pilot,50.0,TrialSpatialRotation
0,0,1.0,15.0,3.0,55.55555555555556,clouds_pilot,75.0,TrialSpatialRotation
0,1,1.0,16.0,4.0,42.857142857142854,clouds_pilot,50.0,TrialSpatialRotation
0,0,2.0,17.0,1.0,57.14285714285714,clouds_pilot,50.0,TrialSpatialRotation
0,1,2.0,18.0,2.0,71.42857142857143,clouds_pilot,75.0,TrialSpatialRotation
0,0,2.0,19.0,3.0,25.0,clouds_pilot,0.0,TrialSpatialRotation
0,1,3.0,20.0,1.0,75.0,clouds_pilot,50.0,TrialSpatialRotation
0,0,3.0,21.0,2.0,50.0,clouds_pilot,50.0,TrialSpatialRotation
0,1,3.0,22.0,3.0,66.66666666666666,clouds_pilot,75.0,TrialSpatialRotation
0,1,4.0,23.0,1.0,57.14285714285714,clouds_pilot,50.0,TrialSpatialRotation
0,1,4.0,24.0,2.0,44.44444444444444,clouds_pilot,50.0,TrialSpatialRotation
0,1,4.0,25.0,3.0,77.77777777777779,clouds_pilot,75.0,TrialSpatialRotation
0,0,4.0,26.0,4.0,33.33333333333333,clouds_pilot,0.0,TrialSpatialRotation
0,1,1.0,27.0,1.0,42.857142857142854,clouds_pilot,50.0,TrialSpatialSpan
0,0,1.0,28.0,2.0,57.14285714285714,clouds_pilot,50.0,TrialSpatialSpan
0,0,1.0,29.0,3.0,0.0,clouds_pilot,0.0,TrialSpatialSpan
0,0,2.0,30.0,1.0,25.0,clouds_pilot,0.0,TrialSpatialSpan
0,1,2.0,31.0,2.0,77.77777777777779,clouds_pilot,75.0,TrialSpatialSpan
0,1,2.0,32.0,3.0,33.33333333333333,clouds_pilot,50.0,TrialSpatialSpan
0,1,2.0,33.0,4.0,83.33333333333334,clouds_pilot,100.0,TrialSpatialSpan
0,0,3.0,34.0,1.0,57.14285714285714,clouds_pilot,25.0,TrialSpatialSpan
0,0,3.0,35.0,2.0,55.55555555555556,clouds_pilot,50.0,TrialSpatialSpan
0,1,3.0,36.0,3.0,85.71428571428571,clouds_pilot,75.0,TrialSpatialSpan
0,1,3.0,37.0,4.0,100.0,clouds_pilot,100.0,TrialSpatialSpan
0,0,4.0,38.0,1.0,50.0,clouds_pilot,0.0,TrialSpatialSpan
0,0,4.0,39.0,2.0,28.57142857142857,clouds_pilot,50.0,TrialSpatialSpan
0,1,4.0,40.0,3.0,33.33333333333333,clouds_pilot,25.0,TrialSpatialSpan
0,1,1.0,41.0,1.0,83.33333333333334,louis_pilot,100.0,TrialDigitSpan
0,1,1.0,42.0,2.0,87.5,louis_pilot,75.0,TrialDigitSpan
0,1,2.0,43.0,1.0,83.33333333333334,louis_pilot,75.0,TrialDigitSpan
0,1,2.0,44.0,2.0,75.0,louis_pilot,100.0,TrialDigitSpan
0,1,2.0,45.0,3.0,71.42857142857143,louis_pilot,75.0,TrialDigitSpan
0,1,2.0,46.0,4.0,100.0,louis_pilot,100.0,TrialDigitSpan
0,1,3.0,47.0,1.0,85.71428571428571,louis_pilot,100.0,TrialDigitSpan
0,0,3.0,48.0,2.0,87.5,louis_pilot,75.0,TrialDigitSpan
0,0,3.0,49.0,3.0,66.66666666666666,louis_pilot,75.0,TrialDigitSpan
0,0,4.0,50.0,1.0,75.0,louis_pilot,50.0,TrialDigitSpan
0,0,4.0,51.0,2.0,50.0,louis_pilot,50.0,TrialDigitSpan
0,1,4.0,52.0,3.0,55.55555555555556,louis_pilot,75.0,TrialDigitSpan
0,1,1.0,53.0,1.0,66.66666666666666,louis_pilot,50.0,TrialSpatialRotation
0,0,1.0,54.0,2.0,37.5,louis_pilot,50.0,TrialSpatialRotation
0,0,1.0,55.0,3.0,83.33333333333334,louis_pilot,75.0,TrialSpatialRotation
0,1,1.0,56.0,4.0,37.5,louis_pilot,75.0,TrialSpatialRotation
0,1,2.0,57.0,1.0,71.42857142857143,louis_pilot,100.0,TrialSpatialRotation
0,0,2.0,58.0,2.0,44.44444444444444,louis_pilot,0.0,TrialSpatialRotation
0,0,2.0,59.0,3.0,37.5,louis_pilot,25.0,TrialSpatialRotation
0,1,2.0,60.0,4.0,100.0,louis_pilot,100.0,TrialSpatialRotation
0,0,3.0,61.0,1.0,50.0,louis_pilot,50.0,TrialSpatialRotation
