,type,occurence,index_raw,participant_id,participant_age,participant_gender,time_start,participant_ans,target_ans,response_time,changed_shifted,switch_type,first_switch_rt,accuracy
61,TrialDigitSpan,1,58,gus_pilot,26,m,816.0235765,2,2,1.3730759,,none,,1
62,TrialDigitSpan,1,19,hazel_pilot,25,f,284.1141202,-1,2,,1.0,none,,0
63,TrialDigitSpan,1,20,hazel_pilot,25,f,294.51156069999996,1,1,2.6198740000000003,,none,,1
64,TrialDigitSpan,1,21,hazel_pilot,25,f,310.0640867,1,1,2.4581779999999998,,none,,1
65,TrialDigitSpan,1,22,hazel_pilot,25,f,324.88309189999995,2,2,2.807859,,none,,1
66,TrialDigitSpan,1,23,hazel_pilot,25,f,340.5606768,0,0,1.9339063000000003,,none,,1
67,TrialDigitSpan,1,24,hazel_pilot,25,f,354.7889462,2,2,2.6322737000000003,,none,,1
68,TrialDigitSpan,1,25,hazel_pilot,25,f,370.703614,1,1,2.3064017000000003,,none,,1
69,TrialDigitSpan,1,26,hazel_pilot,25,f,385.832629,-1,2,,,none,,0
70,TrialDigitSpan,1,27,hazel_pilot,25,f,396.1236627,0,0,2.7235386000000004,,none,,1
71,TrialDigitSpan,1,28,hazel_pilot,25,f,411.44012999999995,1,1,2.0340987,,none,,1
72,TrialDigitSpan,1,29,hazel_pilot,25,f,425.49083089999993,0,0,1.3292811000000002,,none,,1
73,TrialDigitSpan,1,30,hazel_pilot,25,f,438.0493512,0,0,1.8069293999999998,,none,,1
74,TrialDigitSpan,1,31,hazel_pilot,25,f,451.7301018,0,2,1.1988323,,none,,0
75,TrialDigitSpan,1,32,hazel_pilot,25,f,463.91726280000006,0,0,2.5806901,,none,,1
76,TrialDigitSpan,1,33,hazel_pilot,25,f,478.94809960000003,0,0,1.5083387,,none,,1
77,TrialDigitSpan,1,34,hazel_pilot,25,f,492.22356720000005,0,2,1.9959066000000003,,none,,0
78,TrialDigitSpan,1,53,hazel_pilot,25,f,765.4916739,1,1,0.904674,,none,,1
79,TrialDigitSpan,1,22,henry_pilot,26,m,336.30870869999995,1,1,1.4473268999999997,1.0,none,,1
80,TrialDigitSpan,1,23,henry_pilot,26,m,349.4387774,1,1,1.098641,,none,,1
81,TrialDigitSpan,1,24,henry_pilot,26,m,361.7182536,0,0,1.2469461000000002,,none,,1
82,TrialDigitSpan,1,25,henry_pilot,26,m,374.8473787,2,2,1.2781917999999999,,none,,1
83,TrialDigitSpan,1,26,henry_pilot,26,m,387.84605930000004,0,0,1.0540011,,none,,1
84,TrialDigitSpan,1,27,henry_pilot,26,m,400.6294796,2,2,1.4260013,,none,,1
85,TrialDigitSpan,1,28,henry_pilot,26,m,413.2978265,0,0,1.7429471,,none,,1
86,TrialDigitSpan,1,29,henry_pilot,26,m,426.99787000000003,1,1,1.8937307,,none,,1
87,TrialDigitSpan,1,30,henry_pilot,26,m,441.23109289999996,2,2,1.2003224,,none,,1
88,TrialDigitSpan,1,31,henry_pilot,26,m,453.5979011,0,0,0.9964648000000002,,none,,1
89,TrialDigitSpan,1,32,henry_pilot,26,m,466.04052930000006,1,1,1.4696486,,none,,1
90,TrialDigitSpan,1,33,henry_pilot,26,m,479.03326060000006,0,0,1.8237933999999998,,none,,1
91,TrialDigitSpan,1,34,henry_pilot,26,m,493.03986430000003,0,0,1.1507215,,none,,1
92,TrialDigitSpan,1,35,henry_pilot,26,m,505.26126789999995,2,2,1.4651843999999998,,none,,1
93,TrialDigitSpan,1,36,henry_pilot,26,m,518.4757121,0,0,1.2107378999999998,,none,,1
94,TrialDigitSpan,1,37,henry_pilot,26,m,531.1916861999999,0,0,0.8184008,,none,,1
95,TrialDigitSpan,1,38,henry_pilot,26,m,542.6418557,0,0,0.8972646999999999,,none,,1
96,TrialDigitSpan,1,39,henry_pilot,26,m,555.155441,1,1,1.1904332,,none,,1
97,TrialDigitSpan,1,40,henry_pilot,26,m,567.9289428999999,1,1,1.7637775000000002,,none,,1
98,TrialDigitSpan,1,90,henry_pilot,26,m,1386.029687,0,0,1.040115,,none,,1
99,TrialDigitSpan,1,37,jess_pilot,21,f,538.2617581000001,1,1,1.9566881999999999,1.0,none,,1
100,TrialDigitSpan,1,38,jess_pilot,21,f,552.8163691000001,-1,0,,,none,,0
101,TrialDigitSpan,1,39,jess_pilot,21,f,563.0396426,0,0,1.3317549,,none,,1
102,TrialDigitSpan,1,40,jess_pilot,21,f,577.0076091,0,0,1.523212,,none,,1
103,TrialDigitSpan,1,41,jess_pilot,21,f,590.7757087,-1,0,,,none,,0
104,TrialDigitSpan,1,42,jess_pilot,21,f,601.4322698,0,0,1.790556,,none,,1
105,TrialDigitSpan,1,43,jess_pilot,21,f,615.8276775,2,2,1.6105065,,none,,1
106,TrialDigitSpan,1,44,jess_pilot,21,f,629.9279292,0,1,1.6239063999999999,,none,,0
107,TrialDigitSpan,1,45,jess_pilot,21,f,643.5547025000001,2,2,1.7483952,,none,,1
108,TrialDigitSpan,1,46,jess_pilot,21,f,657.6206612999999,-1,2,,,none,,0
109,TrialDigitSpan,1,47,jess_pilot,21,f,668.3659138999999,1,1,2.2200944,,none,,1
110,TrialDigitSpan,1,48,jess_pilot,21,f,683.5258667,1,1,2.1313400000000002,,none,,1
111,TrialDigitSpan,1,49,jess_pilot,21,f,698.1360998,0,0,2.6962523,,none,,1
112,TrialDigitSpan,1,50,jess_pilot,21,f,714.6979312999999,0,0,2.5186851000000003,,none,,1
113,TrialDigitSpan,1,51,jess_pilot,21,f,730.4964745,1,1,1.3932612,,none,,1
114,TrialDigitSpan,1,52,jess_pilot,21,f,743.6280375,-1,1,,,none,,0
115,TrialDigitSpan,1,106,jess_pilot,21,f,1646.49113,0,0,2.09117,,none,,1
116,TrialDigitSpan,1,22,pete_pilot,31,m,305.1947944,0,0,1.2464812,1.0,none,,1
117,TrialDigitSpan,1,23,pete_pilot,31,m,317.6837139,0,0,1.4503035,,none,,1
118,TrialDigitSpan,1,24,pete_pilot,31,m,331.2519612,0,0,0.9786074,,none,,1
119,TrialDigitSpan,1,25,pete_pilot,31,m,343.9247551,2,2,1.5807541,,none,,1
120,TrialDigitSpan,1,26,pete_pilot,31,m,357.0906315,0,0,1.3208492,,none,,1
121,TrialDigitSpan,1,27,pete_pilot,31,m,369.8924024,1,1,1.4031856000000003,,none,,1
122,TrialDigitSpan,1,28,pete_pilot,31,m,383.16240189999996,0,0,1.5807545,,none,,1
123,TrialDigitSpan,1,29,pete_pilot,31,m,396.0792475,1,1,1.466177,,none,,1
124,TrialDigitSpan,1,30,pete_pilot,31,m,409.26343130000004,2,2,1.5013916,,none,,1
125,TrialDigitSpan,1,31,pete_pilot,31,m,422.87627360000005,2,2,1.8857926999999999,,none,,1
126,TrialDigitSpan,1,32,pete_pilot,31,m,436.7107165,0,0,1.3823536,,none,,1
127,TrialDigitSpan,1,33,pete_pilot,31,m,449.8240142,2,2,1.0693777,,none,,1
128,TrialDigitSpan,1,34,pete_pilot,31,m,462.58115630000003,2,2,1.0991387,,none,,1
129,TrialDigitSpan,1,35,pete_pilot,31,m,474.7946688999999,0,0,1.006881,,none,,1
130,TrialDigitSpan,1,36,pete_pilot,31,m,487.02850889999996,2,2,1.501889,,none,,1
131,TrialDigitSpan,1,37,pete_pilot,31,m,500.0182688,0,0,0.7692966999999999,,none,,1
132,TrialDigitSpan,1,38,pete_pilot,31,m,511.84556889999993,0,0,0.9949751,,none,,1
133,TrialDigitSpan,1,39,pete_pilot,31,m,524.5521049,2,2,1.4225288,,none,,1
134,TrialDigitSpan,1,40,pete_pilot,31,m,537.2353456000001,2,2,2.0152479,,none,,1
135,TrialDigitSpan,1,41,pete_pilot,31,m,551.9080514999999,1,1,1.2836504,,none,,1
136,TrialDigitSpan,1,59,pete_pilot,31,m,810.7179244,1,1,1.4691522,,none,,1
137,TrialDigitSpan,1,40,rahul_pilot,20,m,567.0882611000001,2,2,2.1908328999999997,1.0,none,,1
138,TrialDigitSpan,1,41,rahul_pilot,20,m,582.0164161,0,0,2.3019379,,none,,1
139,TrialDigitSpan,1,42,rahul_pilot,20,m,597.3760443,2,2,1.855539,,none,,1
