,index_raw,participant_id,participant_age,participant_gender,type,time_start,time_response_submitted,participant_ans,target_ans
588,76,aan_pilot,20,f,TrialSpatialRotation,196.80900259999999,2.8847382,0,2
589,77,aan_pilot,20,f,TrialSpatialRotation,212.55949569999999,2.867378,0,1
590,78,aan_pilot,20,f,TrialSpatialRotation,228.477639,2.8292131,2,2
591,79,aan_pilot,20,f,TrialSpatialRotation,244.83275890000002,2.3242576,0,0
592,80,aan_pilot,20,f,TrialSpatialRotation,260.1676025,2.4611552000000003,1,1
593,81,aan_pilot,20,f,TrialSpatialRotation,275.7172174,2.0112832,1,0
594,82,aan_pilot,20,f,TrialSpatialRotation,752.8041713,1.9745783,0,1
719,83,aan_pilot,20,f,TrialSpatialRotation,766.7249214999999,2.0370744,2,2
720,84,aan_pilot,20,f,TrialSpatialRotation,781.177887,2.3138398999999996,0,0
721,85,aan_pilot,20,f,TrialSpatialRotation,796.2711744,1.9373776999999999,1,2
722,86,aan_pilot,20,f,TrialSpatialRotation,810.2629178,2.8425767000000004,1,1
723,87,aan_pilot,20,f,TrialSpatialRotation,826.5772939,,-1,1
724,88,aan_pilot,20,f,TrialSpatialRotation,836.994792,1.5023866000000001,1,2
725,89,aan_pilot,20,f,TrialSpatialRotation,850.1968961000001,1.7022722,0,0
726,90,aan_pilot,20,f,TrialSpatialRotation,864.3933697000001,1.7865928,0,0
727,91,aan_pilot,20,f,TrialSpatialRotation,878.3175926000001,1.6730113000000002,0,2
728,92,aan_pilot,20,f,TrialSpatialRotation,1012.651548,2.181409,0,0
729,93,aan_pilot,20,f,TrialSpatialRotation,1027.223069,2.163056,2,2
730,94,aan_pilot,20,f,TrialSpatialRotation,1041.798516,2.038065,2,2
731,95,aan_pilot,20,f,TrialSpatialRotation,1055.937505,2.285073,2,0
732,96,aan_pilot,20,f,TrialSpatialRotation,1071.08287,2.106018,0,0
733,97,aan_pilot,20,f,TrialSpatialRotation,1085.975004,2.171986,2,0
734,98,aan_pilot,20,f,TrialSpatialRotation,1101.04145,2.035584,2,2
735,99,aan_pilot,20,f,TrialSpatialRotation,1115.5455,2.287555,2,0
736,100,aan_pilot,20,f,TrialSpatialRotation,1130.302005,1.90365,0,0
737,101,aan_pilot,20,f,TrialSpatialRotation,1143.993125,1.656146,0,0
738,102,aan_pilot,20,f,TrialSpatialRotation,1157.660397,2.213649,0,2
739,103,aan_pilot,20,f,TrialSpatialRotation,1415.2250210000002,2.572753,0,0
862,104,aan_pilot,20,f,TrialSpatialRotation,1430.5127519999999,2.262754,1,1
863,105,aan_pilot,20,f,TrialSpatialRotation,1445.49542,,-1,1
864,106,aan_pilot,20,f,TrialSpatialRotation,1455.8801720000001,2.317809,1,1
865,107,aan_pilot,20,f,TrialSpatialRotation,1470.690771,2.497361,2,2
866,108,aan_pilot,20,f,TrialSpatialRotation,1485.855484,2.507284,1,1
867,109,aan_pilot,20,f,TrialSpatialRotation,1501.343597,2.667488,0,0
868,110,aan_pilot,20,f,TrialSpatialRotation,1516.944768,2.95269,1,1
869,111,aan_pilot,20,f,TrialSpatialRotation,1533.304869,,-1,2
870,112,aan_pilot,20,f,TrialSpatialRotation,1543.646454,2.251348,1,0
871,113,aan_pilot,20,f,TrialSpatialRotation,1558.26365,2.580691,2,0
872,114,aan_pilot,20,f,TrialSpatialRotation,1574.193137,2.45917,0,1
873,115,aan_pilot,20,f,TrialSpatialRotation,1589.15698,1.764275,1,1
874,116,aan_pilot,20,f,TrialSpatialRotation,1603.244875,2.941778,0,0
875,117,aan_pilot,20,f,TrialSpatialRotation,1619.567768,2.006323,1,1
876,118,aan_pilot,20,f,TrialSpatialRotation,1633.433445,2.901107,2,2
877,119,aan_pilot,20,f,TrialSpatialRotation,2929.153542,2.580691,0,2
1009,120,aan_pilot,20,f,TrialSpatialRotation,2944.883209,,-1,2
1010,121,aan_pilot,20,f,TrialSpatialRotation,2954.781093,1.537601,0,0
1011,122,aan_pilot,20,f,TrialSpatialRotation,2967.721751,1.9993759999999998,0,0
1012,123,aan_pilot,20,f,TrialSpatialRotation,2982.513957,2.356993,0,2
