write_time,experiment_name,experiment_version,participant_id,participant_session,participant_age,participant_gender,cue_length,trial_py_version,type,target_ans,participant_ans,time_start,time_stimulus_start,time_stimulus_end,time_response_enabled,time_response_submitted,time_response_disabled,time_trial_logged
2020-09-25T07:47:52.495458,ExperimentTaskSwitch,v0.0.8,,,,,0.5,v0.0.2,TrialDigitSpan,1,1,141.03429627418518,141.03429627418518,145.67556476593018,145.91341042518616,146.90287280082703,151.14072251319885,151.14072251319885
2020-09-25T07:48:01.130222,ExperimentTaskSwitch,v0.0.8,,,,,0.5,v0.0.2,TrialDigitSpan,1,-1,151.862642288208,151.862642288208,156.50285482406616,156.7582471370697,-1,159.77448630332947,159.77548623085022
2020-09-25T07:48:10.006167,ExperimentTaskSwitch,v0.0.8,,,,,0.5,v0.0.2,TrialDigitSpan,2,-1,160.72724986076355,160.72724986076355,165.392160654068,165.63777232170105,-1,168.64943432807922,168.65143156051636
2020-09-25T07:48:18.435191,ExperimentTaskSwitch,v0.0.8,,,,,0.5,v0.0.2,TrialDigitSpan,0,-1,169.17643570899963,169.17643570899963,173.83705377578735,174.06705284118652,-1,177.08045506477356,177.08045506477356
2020-09-25T07:48:26.878488,ExperimentTaskSwitch,v0.0.8,,,,,0.5,v0.0.2,TrialDigitSpan,2,-1,177.61795592308044,177.61795592308044,182.2701117992401,182.51010966300964,-1,185.5237522125244,185.5237522125244
2020-09-25T07:48:35.191449,ExperimentTaskSwitch,v0.0.8,,,,,0.5,v0.0.2,TrialDigitSpan,1,-1,185.9030978679657,185.9030978679657,190.5735378265381,190.81505393981934,-1,193.835711479187,193.83671355247498
2020-09-25T07:48:48.624836,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialSpatialSpan,0,-1,197.88004398345947,197.88004398345947,204.0105550289154,204.2505521774292,-1,207.27010035514832,207.27010035514832
2020-09-25T07:48:58.184188,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialSpatialSpan,2,-1,207.4319314956665,207.4319314956665,213.56538033485413,213.81540846824646,-1,216.82945227622986,216.82945227622986
2020-09-25T07:49:08.076756,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialSpatialSpan,1,-1,217.30303144454956,217.30303144454956,223.45929718017578,223.70369410514832,-1,226.72201991081238,226.72201991081238
2020-09-25T07:49:18.429298,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialSpatialSpan,1,-1,227.6751527786255,227.6751527786255,233.82207703590393,234.05935978889465,-1,237.06459188461304,237.07456159591675
2020-09-25T07:49:28.487099,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialSpatialSpan,1,-1,237.7597794532776,237.7597794532776,243.87345600128174,244.11364698410034,-1,247.13236331939697,247.13236331939697
2020-09-25T07:49:38.114244,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialSpatialSpan,0,-1,247.3774929046631,247.3774929046631,253.4843246936798,253.73429536819458,-1,256.75851035118103,256.75950860977173
2020-09-25T07:49:48.262182,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialSpatialSpan,0,-1,257.51724457740784,257.51724457740784,263.64957547187805,263.8895733356476,-1,266.90744614601135,266.90744614601135
2020-09-25T07:50:01.744378,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialSpatialRotation,1,-1,270.9577577114105,270.9577577114105,277.139769077301,277.3795952796936,-1,280.3896424770355,280.3896424770355
2020-09-25T07:50:11.336804,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialSpatialRotation,0,-1,280.5325217247009,280.5325217247009,286.7193019390106,286.97061944007874,-1,289.98206853866577,289.98206853866577
2020-09-25T07:50:21.236210,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialSpatialRotation,1,-1,290.4558074474335,290.4558074474335,296.61868119239807,296.8696837425232,-1,299.8794767856598,299.8814740180969
2020-09-25T07:50:31.754567,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialSpatialRotation,1,-1,300.93481707572937,300.93481707572937,307.1286323070526,307.37044858932495,-1,310.38982939720154,310.3998312950134
2020-09-25T07:50:41.491772,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialSpatialRotation,0,-1,310.70829701423645,310.70829701423645,316.884485244751,317.1224048137665,-1,320.13703656196594,320.13703656196594
2020-09-25T07:50:51.158242,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialSpatialRotation,0,-1,320.35666608810425,320.35666608810425,326.5316016674042,326.7850995063782,-1,329.80350637435913,329.80350637435913
2020-09-25T07:51:01.082946,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialSpatialRotation,2,-1,330.2945816516876,330.2945816516876,336.48757314682007,336.7175717353821,-1,339.72821044921875,339.72821044921875
2020-09-25T07:51:13.055316,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialDigitSpan,0,-1,343.7877287864685,343.7877287864685,348.4285113811493,348.6800491809845,-1,351.7005796432495,351.7005796432495
2020-09-25T07:51:21.427093,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialDigitSpan,1,-1,352.20315766334534,352.20315766334534,356.81112837791443,357.06112599372864,-1,360.0623531341553,360.07235741615295
2020-09-25T07:51:30.333659,ExperimentTaskSwitch,v0.0.8,,,,,4,v0.0.2,TrialDigitSpan,0,-1,361.0600047111511,361.0600047111511,365.7058608531952,365.95667839050293,-1,368.9789230823517,368.9789230823517
